Alloy_ID,PH_Al,PH_Sum(Al_2/Si),PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
364,0.64837,0.25025,0.00449,0.00575,5.5,0.7
365,0.61046,0.28147,0.00508,0.00589,6,0.7
366,0.57298,0.32205,0.00585,0.00586,6.5,0.7
367,0.53501,0.36396,0.00664,0.00599,7,0.7
368,0.49535,0.39603,0.00726,0.00587,7.5,0.7
369,0.45641,0.43552,0.00801,0.00607,8,0.7
370,0.41702,0.47475,0.00875,0.00614,8.5,0.7
371,0.3772,0.51355,0.0095,0.0062,9,0.7
372,0.33619,0.55467,0.01029,0.00617,9.5,0.7
373,0.2955,0.59259,0.01102,0.00625,10,0.7
374,0.25445,0.63139,0.01177,0.0063,10.5,0.7
375,0.21208,0.67204,0.01256,0.00624,11,0.7
376,0.17023,0.70916,0.01327,0.00631,11.5,0.7
377,0.12802,0.74643,0.014,0.00634,12,0.7
378,0.08497,0.802,0.01508,0.00625,12.5,0.7
379,0.04203,0.83671,0.01575,0.00638,13,0.7
