,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
312,0.52659214,0.4678318,0.004865788,0.312
313,0.5266517,0.46773416,0.0048780814,0.313
314,0.5267112,0.46763647,0.0048903823,0.314
315,0.52677083,0.46753883,0.0049026757,0.315
316,0.5268303,0.46744114,0.004914984,0.316
317,0.5268899,0.4673435,0.004927285,0.317
318,0.52694947,0.46724582,0.004939586,0.318
319,0.52700907,0.46714818,0.004951887,0.319
320,0.5270686,0.46705055,0.004964195,0.32
321,0.5271282,0.46695283,0.004976496,0.321
322,0.52718776,0.4668552,0.004988797,0.322
323,0.52724725,0.46675754,0.005001098,0.323
324,0.5273068,0.4666599,0.005013399,0.324
325,0.5273664,0.4665622,0.0050256997,0.325
326,0.527426,0.46646455,0.005038008,0.326
327,0.5274855,0.46636692,0.0050503016,0.327
328,0.5275451,0.46626922,0.00506261,0.328
329,0.52760464,0.4661716,0.005074911,0.329
330,0.5276642,0.46607393,0.0050872117,0.33
331,0.5277238,0.46597624,0.0050995126,0.331
332,0.52778333,0.4658786,0.005111821,0.332
333,0.5278429,0.46578094,0.005124122,0.333
334,0.5279025,0.46568328,0.0051364154,0.334
335,0.52796197,0.46558562,0.0051487163,0.335
336,0.5280216,0.46548796,0.0051610246,0.336
337,0.5280812,0.46539026,0.0051733255,0.337
338,0.5281407,0.46529263,0.0051856264,0.338
339,0.52820027,0.465195,0.0051979274,0.339
340,0.5282598,0.4650973,0.0052102357,0.34
341,0.5283194,0.46499965,0.005222529,0.341
342,0.52837896,0.46490198,0.0052348226,0.342
343,0.52843845,0.46480435,0.005247131,0.343
344,0.52849805,0.4647067,0.0052594244,0.344
345,0.52855766,0.46460903,0.005271733,0.345
346,0.52861714,0.46451136,0.005284041,0.346
347,0.52867675,0.4644137,0.0052963346,0.347
348,0.5287363,0.46431604,0.0053086355,0.348
349,0.52879584,0.46421838,0.0053209364,0.349
350,0.5288554,0.46412075,0.00533323,0.35
351,0.528915,0.46402305,0.0053455383,0.351
352,0.52897453,0.46392542,0.0053578317,0.352
353,0.52903414,0.46382776,0.00537014,0.353
354,0.5290937,0.4637301,0.0053824484,0.354
355,0.5291532,0.46363243,0.005394742,0.355
356,0.52921283,0.46353477,0.0054070503,0.356
357,0.5292724,0.46343708,0.0054193437,0.357
358,0.5293319,0.46333945,0.005431652,0.358
359,0.5293915,0.4632418,0.005443953,0.359
360,0.529451,0.46314412,0.005456254,0.36
361,0.5295106,0.4630465,0.0054685622,0.361
362,0.52957016,0.4629488,0.0054808557,0.362
363,0.5296297,0.46285117,0.005493164,0.363
364,0.52968925,0.4627535,0.0055054575,0.364
365,0.52974886,0.46265584,0.005517766,0.365
366,0.5298084,0.46255815,0.0055300593,0.366
367,0.52986795,0.46246052,0.0055423677,0.367
368,0.5299275,0.46236286,0.0055546686,0.368
369,0.5299871,0.4622652,0.005566977,0.369
370,0.53004664,0.46216756,0.005579278,0.37
371,0.5301062,0.46206987,0.0055915713,0.371
372,0.5301658,0.4619722,0.0056038797,0.372
373,0.53022534,0.46187454,0.005616173,0.373
374,0.5302849,0.4617769,0.0056284815,0.374
375,0.5303444,0.46167925,0.005640775,0.375
376,0.530404,0.4615816,0.0056530833,0.376
377,0.5304636,0.46148393,0.0056653842,0.377
378,0.5305231,0.46138626,0.005677685,0.378
379,0.53058267,0.4612886,0.0056899786,0.379
380,0.5306423,0.46119094,0.005702287,0.38
381,0.5307018,0.46109328,0.0057145804,0.381
382,0.53076136,0.4609956,0.005726889,0.382
383,0.53082097,0.46089798,0.0057391822,0.383
384,0.5308805,0.4608003,0.0057514906,0.384
385,0.53094006,0.46070266,0.0057637915,0.385
386,0.5309996,0.46060497,0.0057760924,0.386
387,0.53105915,0.46050733,0.005788401,0.387
388,0.53111875,0.46040967,0.0058007017,0.388
389,0.5311783,0.460312,0.0058130026,0.389
390,0.53123784,0.46021435,0.005825296,0.39
391,0.53129745,0.46011668,0.0058376044,0.391
392,0.531357,0.46001905,0.005849898,0.392
393,0.53141654,0.45992136,0.005862206,0.393
394,0.53147614,0.4598237,0.0058745146,0.394
395,0.5315356,0.45972607,0.005886808,0.395
396,0.53159523,0.4596284,0.005899109,0.396
397,0.5316548,0.4595307,0.00591141,0.397
398,0.5317143,0.45943308,0.005923718,0.398
399,0.5317739,0.45933542,0.0059360117,0.399
400,0.53183347,0.45923775,0.00594832,0.4
401,0.531893,0.4591401,0.005960621,0.401
402,0.5319526,0.45904243,0.005972922,0.402
403,0.5320121,0.45894477,0.0059852153,0.403
404,0.5320717,0.4588471,0.005997516,0.404
405,0.53213125,0.45874944,0.0060098246,0.405
406,0.53219086,0.45865178,0.0060221255,0.406
407,0.5322504,0.45855412,0.0060344264,0.407
408,0.53230995,0.45845646,0.0060467273,0.408
409,0.5323695,0.45835882,0.0060590357,0.409
410,0.5324291,0.45826113,0.006071329,0.41
411,0.53248864,0.4581635,0.0060836375,0.411
412,0.5325482,0.4580658,0.006095931,0.412
413,0.5326078,0.45796818,0.0061082244,0.413
414,0.5326673,0.45787054,0.0061205477,0.414
415,0.5327269,0.45777285,0.006132841,0.415
416,0.5327864,0.4576752,0.0061451495,0.416
417,0.532846,0.45757753,0.006157443,0.417
418,0.5329056,0.4574799,0.0061697513,0.418
419,0.5329651,0.45738223,0.0061820447,0.419
420,0.53302467,0.45728457,0.006194353,0.42
421,0.5330843,0.4571869,0.0062066466,0.421
422,0.5331438,0.45708925,0.006218955,0.422
423,0.53320336,0.45699158,0.0062312484,0.423
424,0.5332629,0.45689392,0.0062435493,0.424
425,0.53332245,0.4567963,0.0062558576,0.425
426,0.53338206,0.4566986,0.006268151,0.426
427,0.5334416,0.45660096,0.0062804595,0.427
428,0.53350115,0.45650327,0.0062927604,0.428
429,0.53356075,0.4564056,0.0063050613,0.429
430,0.5336203,0.45630795,0.0063173547,0.43
431,0.53367984,0.45621032,0.0063296556,0.431
432,0.53373945,0.45611262,0.006341964,0.432
433,0.53379893,0.456015,0.0063542575,0.433
434,0.53385854,0.45591733,0.006366566,0.434
435,0.53391814,0.45581967,0.0063788667,0.435
436,0.5339776,0.455722,0.0063911676,0.436
437,0.53403723,0.45562434,0.0064034685,0.437
438,0.5340968,0.45552668,0.006415777,0.438
439,0.5341563,0.45542902,0.006428078,0.439
440,0.5342159,0.45533136,0.0064403787,0.44
441,0.5342755,0.4552337,0.0064526796,0.441
442,0.534335,0.45513606,0.006464973,0.442
443,0.53439456,0.4550384,0.006477274,0.443
444,0.5344541,0.45494074,0.0064895824,0.444
445,0.5345137,0.45484304,0.0065018907,0.445
446,0.53457326,0.4547454,0.0065141916,0.446
447,0.5346328,0.45464775,0.0065264925,0.447
448,0.5346924,0.4545501,0.0065387934,0.448
449,0.53475195,0.45445246,0.006551102,0.449
450,0.5348115,0.45435476,0.0065633953,0.45
451,0.5348711,0.45425713,0.0065756887,0.451
452,0.5349306,0.45415944,0.006587997,0.452
453,0.5349902,0.4540618,0.006600298,0.453
454,0.53504974,0.45396414,0.006612599,0.454
455,0.5351093,0.45386648,0.0066249,0.455
456,0.5351689,0.45376885,0.006637208,0.456
457,0.53522843,0.45367116,0.0066495016,0.457
458,0.535288,0.45357352,0.0066618025,0.458
459,0.5353476,0.45347583,0.006674111,0.459
460,0.5354071,0.45337817,0.0066864043,0.46
461,0.5354667,0.4532805,0.0066987127,0.461
462,0.5355262,0.45318288,0.006711006,0.462
463,0.5355858,0.45308518,0.0067233145,0.463
464,0.53564537,0.45298755,0.006735608,0.464
465,0.5357049,0.4528899,0.0067479163,0.465
