,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
467,0.5356299,0.4528668,0.006822124,0.467
468,0.5356868,0.4527725,0.0068360195,0.468
469,0.5357436,0.45267826,0.0068499073,0.469
470,0.53580046,0.45258397,0.006863788,0.47
471,0.53585726,0.45248973,0.006877683,0.471
472,0.53591406,0.45239547,0.0068915784,0.472
473,0.5359709,0.4523012,0.006905474,0.473
474,0.5360277,0.45220694,0.006919369,0.474
475,0.53608453,0.45211267,0.006933257,0.475
476,0.5361414,0.4520184,0.0069471523,0.476
477,0.53619826,0.45192415,0.0069610476,0.477
478,0.53625506,0.45182988,0.0069749355,0.478
479,0.5363119,0.45173562,0.0069888234,0.479
480,0.5363687,0.45164138,0.0070027187,0.48
481,0.5364256,0.4515471,0.007016614,0.481
482,0.5364824,0.45145285,0.0070304945,0.482
483,0.5365392,0.45135856,0.0070443973,0.483
484,0.53659606,0.45126432,0.0070582926,0.484
485,0.53665286,0.45117006,0.007072173,0.485
486,0.53670967,0.4510758,0.007086061,0.486
487,0.5367665,0.45098153,0.0070999637,0.487
488,0.5368234,0.45088723,0.0071138665,0.488
489,0.5368802,0.450793,0.007127747,0.489
490,0.536937,0.45069873,0.007141635,0.49
491,0.53699386,0.45060447,0.00715553,0.491
492,0.53705066,0.4505102,0.007169418,0.492
493,0.5371075,0.45041594,0.0071833134,0.493
494,0.53716433,0.45032167,0.007197216,0.494
495,0.5372212,0.4502274,0.0072110966,0.495
496,0.537278,0.45013314,0.007224992,0.496
497,0.5373348,0.45003888,0.00723888,0.497
498,0.53739166,0.44994462,0.007252775,0.498
499,0.53744847,0.44985038,0.0072666705,0.499
500,0.5375053,0.44975612,0.007280566,0.5
501,0.53756213,0.44966185,0.007294446,0.501
502,0.537619,0.44956756,0.0073083416,0.502
503,0.5376758,0.44947332,0.007322237,0.503
504,0.5377326,0.44937903,0.007336125,0.504
505,0.53778946,0.4492848,0.00735002,0.505
506,0.53784627,0.44919053,0.007363923,0.506
507,0.53790313,0.44909626,0.007377811,0.507
508,0.53795993,0.449002,0.0073916987,0.508
509,0.5380168,0.44890773,0.007405594,0.509
510,0.5380736,0.44881347,0.007419482,0.51
511,0.5381304,0.44871923,0.0074333698,0.511
512,0.53818727,0.44862494,0.0074472725,0.512
513,0.5382441,0.44853067,0.0074611604,0.513
514,0.53830093,0.44843644,0.0074750558,0.514
515,0.53835773,0.44834214,0.007488936,0.515
516,0.5384146,0.44824788,0.007502839,0.516
517,0.5384714,0.44815361,0.007516712,0.517
518,0.5385282,0.44805938,0.0075306147,0.518
519,0.53858507,0.44796512,0.0075445175,0.519
520,0.53864187,0.44787085,0.0075584054,0.52
521,0.53869873,0.4477766,0.0075722933,0.521
522,0.53875554,0.44768232,0.0075861886,0.522
523,0.5388124,0.44758806,0.0076000765,0.523
524,0.5388692,0.4474938,0.0076139644,0.524
525,0.53892606,0.44739953,0.007627867,0.525
526,0.53898287,0.44730526,0.007641755,0.526
527,0.53903973,0.447211,0.0076556504,0.527
528,0.53909653,0.44711676,0.0076695383,0.528
529,0.53915334,0.4470225,0.007683426,0.529
530,0.5392102,0.44692823,0.0076973215,0.53
531,0.53926706,0.44683394,0.0077112243,0.531
532,0.53932387,0.4467397,0.007725112,0.532
533,0.53938067,0.4466454,0.0077390075,0.533
534,0.53943753,0.44655114,0.0077528954,0.534
535,0.53949434,0.4464569,0.0077667832,0.535
536,0.53955114,0.44636264,0.0077806786,0.536
537,0.539608,0.44626838,0.0077945665,0.537
538,0.5396648,0.44617411,0.0078084692,0.538
539,0.53972167,0.44607985,0.00782235,0.539
540,0.5397184,0.44607985,0.00783851,0.54
541,0.53911895,0.44701475,0.007877149,0.541
542,0.5385195,0.44794965,0.007915795,0.542
543,0.53792,0.44888455,0.007954434,0.543
544,0.5373205,0.44981948,0.007993072,0.544
545,0.5367211,0.45075434,0.008031711,0.545
546,0.5361216,0.45168924,0.008070342,0.546
547,0.5355222,0.45262414,0.0081089735,0.547
548,0.5349227,0.45355904,0.008147612,0.548
549,0.53428143,0.45419216,0.00816308,0.549
550,0.5336393,0.45481938,0.008178085,0.55
551,0.53299725,0.45544657,0.008193105,0.551
552,0.5323552,0.45607376,0.008208111,0.552
553,0.53171307,0.45670095,0.008223116,0.553
554,0.53107095,0.4573282,0.008238137,0.554
555,0.5304289,0.4579554,0.008253157,0.555
556,0.52978677,0.45858258,0.008268148,0.556
557,0.5291447,0.45920977,0.008283168,0.557
558,0.5285026,0.45983702,0.008298181,0.558
559,0.52786046,0.4604642,0.0083131865,0.559
560,0.5272184,0.4610914,0.008328199,0.56
561,0.5265763,0.46171862,0.008343212,0.561
