Alloy_ID,PH_Al,PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
291,0.8656,0.06145,0.01022,0.06273,9,0.5
292,0.86054,0.06597,0.01101,0.06248,9.5,0.5
293,0.85469,0.07033,0.01175,0.06323,10,0.5
294,0.84909,0.07476,0.01248,0.06367,10.5,0.5
295,0.84345,0.07929,0.01353,0.06373,11,0.5
296,0.83765,0.08377,0.01425,0.06433,11.5,0.5
297,0.83187,0.0883,0.01501,0.06482,12,0.5
298,0.82796,0.09321,0.01573,0.0631,12.5,0.5
299,0.82072,0.0977,0.01671,0.06487,13,0.5
300,0.81462,0.10243,0.0175,0.06545,13.5,0.5
301,0.91439,0.0199,0.00306,0.06265,4,0.55
302,0.90953,0.02379,0.00367,0.06301,4.5,0.55
303,0.90285,0.02748,0.00445,0.06522,5,0.55
304,0.89798,0.03145,0.00499,0.06558,5.5,0.55
305,0.89198,0.03544,0.00582,0.06676,6,0.55
306,0.88672,0.03951,0.00639,0.06738,6.5,0.55
307,0.8806,0.04352,0.00717,0.06871,7,0.55
308,0.87691,0.04794,0.008,0.06715,7.5,0.55
309,0.87057,0.05206,0.00849,0.06888,8,0.55
310,0.86394,0.05623,0.00932,0.07051,8.5,0.55
311,0.85993,0.06072,0.01002,0.06933,9,0.55
312,0.85361,0.06501,0.01081,0.07057,9.5,0.55
313,0.84742,0.06935,0.01159,0.07164,10,0.55
314,0.84158,0.07376,0.01235,0.07231,10.5,0.55
315,0.83669,0.07836,0.01329,0.07166,11,0.55
316,0.83078,0.08284,0.014,0.07238,11.5,0.55
317,0.82492,0.08736,0.01475,0.07297,12,0.55
318,0.82113,0.0923,0.0155,0.07107,12.5,0.55
319,0.81371,0.09677,0.01647,0.07305,13,0.55
320,0.80759,0.10154,0.01725,0.07362,13.5,0.55
321,0.90786,0.019,0.00301,0.07013,4,0.6
322,0.90303,0.02292,0.00362,0.07043,4.5,0.6
323,0.89695,0.02668,0.00421,0.07216,5,0.6
324,0.89069,0.03052,0.00483,0.07396,5.5,0.6
325,0.88626,0.03464,0.00558,0.07352,6,0.6
326,0.87974,0.03858,0.0062,0.07548,6.5,0.6
327,0.87426,0.04266,0.00691,0.07617,7,0.6
328,0.86833,0.04681,0.00767,0.07719,7.5,0.6
329,0.86301,0.05109,0.00849,0.07741,8,0.6
330,0.85807,0.05535,0.00897,0.07761,8.5,0.6
331,0.85205,0.05972,0.00973,0.0785,9,0.6
332,0.84718,0.06418,0.01052,0.07812,9.5,0.6
333,0.84107,0.06843,0.01127,0.07923,10,0.6
334,0.83426,0.07278,0.01228,0.08068,10.5,0.6
335,0.82974,0.0774,0.01305,0.07981,11,0.6
336,0.82363,0.08187,0.01378,0.08072,11.5,0.6
337,0.81788,0.08641,0.0145,0.08121,12,0.6
338,0.81415,0.09136,0.01527,0.07922,12.5,0.6
339,0.80642,0.09581,0.01623,0.08154,13,0.6
340,0.80049,0.10056,0.01699,0.08196,13.5,0.6
341,0.90184,0.01817,0.00278,0.07721,4,0.65
342,0.89663,0.02206,0.00339,0.07792,4.5,0.65
343,0.88999,0.02577,0.004,0.08024,5,0.65
344,0.88418,0.02963,0.00474,0.08145,5.5,0.65
345,0.87945,0.03376,0.00537,0.08142,6,0.65
346,0.87287,0.03763,0.00612,0.08338,6.5,0.65
347,0.86786,0.04178,0.00665,0.08371,7,0.65
348,0.86147,0.04584,0.00744,0.08525,7.5,0.65
349,0.85611,0.05011,0.00823,0.08555,8,0.65
350,0.84996,0.05433,0.00899,0.08672,8.5,0.65
351,0.84412,0.05855,0.00975,0.08758,9,0.65
352,0.83911,0.06311,0.01055,0.08723,9.5,0.65
353,0.833,0.06737,0.01128,0.08835,10,0.65
354,0.82721,0.0718,0.01202,0.08897,10.5,0.65
355,0.82257,0.07653,0.01281,0.08809,11,0.65
356,0.81665,0.0809,0.01351,0.08894,11.5,0.65
357,0.81072,0.08543,0.01425,0.0896,12,0.65
358,0.80611,0.09036,0.01532,0.08821,12.5,0.65
359,0.79912,0.09483,0.01599,0.09006,13,0.65
360,0.79319,0.09955,0.01674,0.09052,13.5,0.65
361,0.89519,0.0173,0.00257,0.08494,4,0.7
362,0.88948,0.02106,0.00335,0.08611,4.5,0.7
363,0.88358,0.02487,0.00391,0.08764,5,0.7
364,0.87784,0.02874,0.00449,0.08893,5.5,0.7
365,0.87113,0.03263,0.00508,0.09116,6,0.7
366,0.86672,0.03677,0.00585,0.09066,6.5,0.7
367,0.85993,0.04072,0.00664,0.09271,7,0.7
368,0.85669,0.04524,0.00726,0.09081,7.5,0.7
369,0.84899,0.04917,0.00801,0.09383,8,0.7
370,0.84289,0.05333,0.00875,0.09503,8.5,0.7
371,0.83702,0.05764,0.0095,0.09584,9,0.7
372,0.83219,0.06212,0.01029,0.0954,9.5,0.7
373,0.82594,0.06637,0.01102,0.09667,10,0.7
374,0.82005,0.0708,0.01177,0.09738,10.5,0.7
375,0.81544,0.07555,0.01256,0.09645,11,0.7
376,0.80906,0.07999,0.01327,0.09768,11.5,0.7
377,0.80344,0.08444,0.014,0.09812,12,0.7
378,0.79891,0.08939,0.01508,0.09662,12.5,0.7
379,0.7917,0.09384,0.01575,0.09871,13,0.7
380,0.78585,0.09853,0.01648,0.09914,13.5,0.7
